Timestamp,Comment,IsVisitorAccessAllowed,Plate,ResidentFoundCount,VisitorFoundCount,,TagImage
2021-09-19T17:53:17.588Z, ,FALSE,KNDC06,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175319627_KNDC06.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175319627_KNDC06.jpeg
2021-09-19T17:54:45.324Z,,FALSE,ID43CX,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175445367_ID43CX.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175445367_ID43CX.jpeg
2021-09-19T17:54:50.202Z,,FALSE,JCRS93,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175450675_JCRS93.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175450675_JCRS93.jpeg
2021-09-19T17:55:23.365Z,,FALSE,QVKR13,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175524215_QVKR13.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175524215_QVKR13.jpeg
2021-09-19T17:55:40.396Z,,FALSE,SCREW,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175540344_SCREW.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175540344_SCREW.jpeg
2021-09-19T17:55:49.468Z,,FALSE,QVHJ76,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175549439_QVHJ76.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175549439_QVHJ76.jpeg
2021-09-19T17:56:27.205Z,,FALSE,XH0509,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175627578_XH0509.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175627578_XH0509.jpeg
2021-09-19T17:57:08.118Z,,FALSE,R0CS0L,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175708500_R0CS0L.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175708500_R0CS0L.jpeg
2021-09-19T17:57:31.451Z,,FALSE,MBH500,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175732336_MBH500.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175732336_MBH500.jpeg
2021-09-19T17:57:49.537Z,,FALSE,70ADSB,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175751529_70ADSB.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210919_175751529_70ADSB.jpeg
